run_ts,country,country_code,country_group,indicator,indicator_code,status,rows,error
20260315T201038Z,China,CHN,Large emerging,hospital_beds,WB_WDI_SH_MED_BEDS_ZS,success,21,
20260315T201038Z,China,CHN,Large emerging,co2_per_capita,WB_WDI_EN_ATM_CO2E_PC,success,0,
20260315T201038Z,China,CHN,Large emerging,air_passengers,WB_WDI_IS_AIR_PSGR,success,24,
20260315T201038Z,China,CHN,Large emerging,population_total,WB_WDI_SP_POP_TOTL,success,25,
20260315T201038Z,Singapore,SGP,Advanced economy,education_secondary,WB_WDI_SE_SEC_CUAT_UP_ZS,success,18,
20260315T201038Z,Singapore,SGP,Advanced economy,education_expenditure,WB_WDI_SE_XPD_TOTL_GD_ZS,success,25,
20260315T201038Z,Singapore,SGP,Advanced economy,internet_users_pct,WB_WDI_IT_NET_USER_ZS,success,25,
20260315T201038Z,Singapore,SGP,Advanced economy,gdp_per_capita,WB_WDI_NY_GDP_PCAP_CD,success,25,
20260315T201038Z,Singapore,SGP,Advanced economy,poverty_headcount,WB_WDI_SI_POV_NAHC,success,0,
20260315T201038Z,Singapore,SGP,Advanced economy,gini_index,WB_WDI_SI_POV_GINI,success,0,
20260315T201038Z,Singapore,SGP,Advanced economy,life_expectancy,WB_WDI_SP_DYN_LE00_IN,success,24,
20260315T201038Z,Singapore,SGP,Advanced economy,hospital_beds,WB_WDI_SH_MED_BEDS_ZS,success,19,
20260315T201038Z,Singapore,SGP,Advanced economy,co2_per_capita,WB_WDI_EN_ATM_CO2E_PC,success,0,
20260315T201038Z,Singapore,SGP,Advanced economy,air_passengers,WB_WDI_IS_AIR_PSGR,success,24,
20260315T201038Z,Singapore,SGP,Advanced economy,population_total,WB_WDI_SP_POP_TOTL,success,25,
20260315T201038Z,Japan,JPN,Advanced economy,education_secondary,WB_WDI_SE_SEC_CUAT_UP_ZS,success,2,
20260315T201038Z,Japan,JPN,Advanced economy,education_expenditure,WB_WDI_SE_XPD_TOTL_GD_ZS,success,21,
20260315T201038Z,Japan,JPN,Advanced economy,internet_users_pct,WB_WDI_IT_NET_USER_ZS,success,24,
20260315T201038Z,Japan,JPN,Advanced economy,gdp_per_capita,WB_WDI_NY_GDP_PCAP_CD,success,25,
20260315T201038Z,Japan,JPN,Advanced economy,poverty_headcount,WB_WDI_SI_POV_NAHC,success,0,
20260315T201038Z,Japan,JPN,Advanced economy,gini_index,WB_WDI_SI_POV_GINI,success,13,
20260315T201038Z,Japan,JPN,Advanced economy,life_expectancy,WB_WDI_SP_DYN_LE00_IN,success,24,
20260315T201038Z,Japan,JPN,Advanced economy,hospital_beds,WB_WDI_SH_MED_BEDS_ZS,success,21,
20260315T201038Z,Japan,JPN,Advanced economy,co2_per_capita,WB_WDI_EN_ATM_CO2E_PC,success,0,
20260315T201038Z,Japan,JPN,Advanced economy,air_passengers,WB_WDI_IS_AIR_PSGR,success,24,
20260315T201038Z,Japan,JPN,Advanced economy,population_total,WB_WDI_SP_POP_TOTL,success,25,
20260315T201038Z,United States,USA,Advanced economy,education_secondary,WB_WDI_SE_SEC_CUAT_UP_ZS,success,25,
20260315T201038Z,United States,USA,Advanced economy,education_expenditure,WB_WDI_SE_XPD_TOTL_GD_ZS,success,7,
20260315T201038Z,United States,USA,Advanced economy,internet_users_pct,WB_WDI_IT_NET_USER_ZS,success,24,
20260315T201038Z,United States,USA,Advanced economy,gdp_per_capita,WB_WDI_NY_GDP_PCAP_CD,success,25,
20260315T201038Z,United States,USA,Advanced economy,poverty_headcount,WB_WDI_SI_POV_NAHC,success,0,
20260315T201038Z,United States,USA,Advanced economy,gini_index,WB_WDI_SI_POV_GINI,success,24,
20260315T201038Z,United States,USA,Advanced economy,life_expectancy,WB_WDI_SP_DYN_LE00_IN,success,24,
20260315T201038Z,United States,USA,Advanced economy,hospital_beds,WB_WDI_SH_MED_BEDS_ZS,success,21,
20260315T201038Z,United States,USA,Advanced economy,co2_per_capita,WB_WDI_EN_ATM_CO2E_PC,success,0,
20260315T201038Z,United States,USA,Advanced economy,air_passengers,WB_WDI_IS_AIR_PSGR,success,24,
20260315T201038Z,United States,USA,Advanced economy,population_total,WB_WDI_SP_POP_TOTL,success,25,
