country,country_code,country_group,indicator,indicator_code,TIME_PERIOD,OBS_VALUE,TIME_FORMAT,UNIT_MULT,COMMENT_OBS,OBS_STATUS,OBS_CONF,AGG_METHOD,DECIMALS,COMMENT_TS,DATA_SOURCE,LATEST_DATA,DATABASE_ID,INDICATOR,REF_AREA,SEX,AGE,URBANISATION,COMP_BREAKDOWN_1,COMP_BREAKDOWN_2,COMP_BREAKDOWN_3,FREQ,UNIT_MEASURE,UNIT_TYPE
Singapore,SGP,Advanced economy,education_secondary,WB_WDI_SE_SEC_CUAT_UP_ZS,2016,70.690002,P1Y,0,,A,PU,_Z,2,"Educational attainment, at least completed upper secondary, population 25+, total (%) (cumulative)",WB_WDI,False,WB_WDI,WB_WDI_SE_SEC_CUAT_UP_ZS,SGP,_T,_T,_T,_Z,_Z,_Z,A,PT,
Singapore,SGP,Advanced economy,education_secondary,WB_WDI_SE_SEC_CUAT_UP_ZS,2017,71.400002,P1Y,0,,A,PU,_Z,2,"Educational attainment, at least completed upper secondary, population 25+, total (%) (cumulative)",WB_WDI,False,WB_WDI,WB_WDI_SE_SEC_CUAT_UP_ZS,SGP,_T,_T,_T,_Z,_Z,_Z,A,PT,
Singapore,SGP,Advanced economy,education_secondary,WB_WDI_SE_SEC_CUAT_UP_ZS,2018,73.519997,P1Y,0,,A,PU,_Z,2,"Educational attainment, at least completed upper secondary, population 25+, total (%) (cumulative)",WB_WDI,False,WB_WDI,WB_WDI_SE_SEC_CUAT_UP_ZS,SGP,_T,_T,_T,_Z,_Z,_Z,A,PT,
Singapore,SGP,Advanced economy,education_secondary,WB_WDI_SE_SEC_CUAT_UP_ZS,2019,74.480003,P1Y,0,,A,PU,_Z,2,"Educational attainment, at least completed upper secondary, population 25+, total (%) (cumulative)",WB_WDI,False,WB_WDI,WB_WDI_SE_SEC_CUAT_UP_ZS,SGP,_T,_T,_T,_Z,_Z,_Z,A,PT,
Singapore,SGP,Advanced economy,education_secondary,WB_WDI_SE_SEC_CUAT_UP_ZS,2020,74.550003,P1Y,0,,A,PU,_Z,2,"Educational attainment, at least completed upper secondary, population 25+, total (%) (cumulative)",WB_WDI,False,WB_WDI,WB_WDI_SE_SEC_CUAT_UP_ZS,SGP,_T,_T,_T,_Z,_Z,_Z,A,PT,
Singapore,SGP,Advanced economy,education_secondary,WB_WDI_SE_SEC_CUAT_UP_ZS,2021,78.370003,P1Y,0,,A,PU,_Z,2,"Educational attainment, at least completed upper secondary, population 25+, total (%) (cumulative)",WB_WDI,False,WB_WDI,WB_WDI_SE_SEC_CUAT_UP_ZS,SGP,_T,_T,_T,_Z,_Z,_Z,A,PT,
Singapore,SGP,Advanced economy,education_secondary,WB_WDI_SE_SEC_CUAT_UP_ZS,2022,79.040001,P1Y,0,,A,PU,_Z,2,"Educational attainment, at least completed upper secondary, population 25+, total (%) (cumulative)",WB_WDI,True,WB_WDI,WB_WDI_SE_SEC_CUAT_UP_ZS,SGP,_T,_T,_T,_Z,_Z,_Z,A,PT,
Singapore,SGP,Advanced economy,internet_users_pct,WB_WDI_IT_NET_USER_ZS,2000,36.0,P1Y,0,,A,PU,_Z,2,Individuals using the Internet (% of population),WB_WDI,False,WB_WDI,WB_WDI_IT_NET_USER_ZS,SGP,_T,_T,_T,_Z,_Z,_Z,A,PT_POP,
Singapore,SGP,Advanced economy,internet_users_pct,WB_WDI_IT_NET_USER_ZS,2001,41.6704,P1Y,0,,A,PU,_Z,2,Individuals using the Internet (% of population),WB_WDI,False,WB_WDI,WB_WDI_IT_NET_USER_ZS,SGP,_T,_T,_T,_Z,_Z,_Z,A,PT_POP,
Singapore,SGP,Advanced economy,internet_users_pct,WB_WDI_IT_NET_USER_ZS,2002,47.0,P1Y,0,,A,PU,_Z,2,Individuals using the Internet (% of population),WB_WDI,False,WB_WDI,WB_WDI_IT_NET_USER_ZS,SGP,_T,_T,_T,_Z,_Z,_Z,A,PT_POP,
